frameNumber,x,y,z,velocity,snr,noise
68,-0.320604145526886,0.363643079996109,0.060396142303943634,0.0,212,563
68,-0.6106745600700378,1.8491941690444946,0.16215261816978455,0.0,280,484
68,0.0,24.396608352661133,5.058539390563965,0.0,130,447
69,-0.33587101101875305,0.3525105118751526,-0.039975233376026154,0.0,213,557
69,-0.6106745600700378,1.8486919403076172,0.16778184473514557,0.0,290,479
69,-0.8396775126457214,5.305532932281494,-0.15954197943210602,0.0,122,422
69,-0.778610110282898,24.649560928344727,3.546295404434204,0.0,135,446
70,-0.5496070981025696,1.8691763877868652,0.15115505456924438,0.0,287,488
70,-0.6717420220375061,5.328425884246826,-0.1892876923084259,0.0,135,419
70,0.0,24.01535987854004,4.465421199798584,0.0,148,430
71,-0.38167160749435425,0.27354303002357483,-0.13480353355407715,0.0,193,569
71,-0.07633432000875473,0.1431361734867096,0.46082112193107605,0.0,193,569
71,-0.5496070981025696,1.8682138919830322,0.16261866688728333,0.0,289,490
71,-0.6717420220375061,5.315293788909912,0.41905489563941956,0.0,150,417
71,-1.557220220565796,24.46438980102539,4.455557823181152,0.0,127,444
72,-0.3969384729862213,0.2531086206436157,-0.1305636465549469,0.0,193,573
72,-0.0916011855006218,0.26153913140296936,0.40234002470970154,0.0,193,573
72,-0.5496070981025696,1.8696551322937012,0.1451127976179123,0.0,284,496
72,-0.5343402624130249,3.370374917984009,-0.2234550416469574,0.0,206,442
72,-0.8396775126457214,5.300654411315918,0.27783384919166565,0.0,150,418
72,0.0,24.460025787353516,4.742407321929932,0.0,121,449
73,-0.5038065314292908,1.3624440431594849,0.19484400749206543,0.0,269,506
73,0.0,24.591388702392578,4.005864143371582,0.0,122,450
74,-0.320604145526886,0.36831143498420715,-0.015187660232186317,0.0,198,574
74,-0.5496070981025696,1.8730058670043945,0.09228917211294174,0.0,263,492
74,0.0,24.284923553466797,2.630584716796875,0.0,151,427
75,-0.320604145526886,0.3613872826099396,0.07268574088811874,0.0,203,578
75,-0.6106745600700378,1.854729413986206,0.07610296458005905,0.0,250,497
75,0.0,24.307998657226562,2.4080488681793213,0.0,132,445
76,-0.33587101101875305,0.3481711745262146,0.06810662150382996,0.0,200,579
76,-0.6106745600700378,1.8547066450119019,0.0766533762216568,0.0,251,496
76,-0.6106745600700378,4.5351152420043945,-1.7108192443847656,0.0,153,430
76,0.0,24.231712341308594,3.082469940185547,0.0,139,435
77,-0.3511378765106201,0.33941102027893066,0.013166668824851513,0.0,201,573
77,-0.5496070981025696,1.8686383962631226,0.15766620635986328,0.0,260,492
77,0.0,24.257593154907227,2.8716986179351807,0.0,134,441
78,-0.3511378765106201,0.33839887380599976,-0.029315613210201263,0.0,217,565
78,-0.10686805099248886,0.4645824730396271,-0.106833316385746,0.0,217,565
78,-0.5496070981025696,1.8694100379943848,0.14823701977729797,0.0,278,483
78,0.0,24.045791625976562,4.298534393310547,0.0,135,440
79,-0.641208291053772,0.7371450662612915,-0.0123728783801198,0.0,243,536
79,-0.5496070981025696,1.8705888986587524,0.13253356516361237,0.0,283,483
79,0.0,24.207500457763672,3.267176389694214,0.0,149,426
80,-0.33587101101875305,0.3543333411216736,-0.01759430579841137,0.0,215,562
80,-0.5496070981025696,1.8716838359832764,0.11604990810155869,0.0,289,474
80,0.0,24.094341278076172,4.017485618591309,0.0,135,442
81,-0.38167160749435425,0.30411607027053833,-0.02260991930961609,0.0,193,585
81,-0.6106745600700378,1.8490489721298218,0.1638007014989853,0.0,248,502
81,0.0,24.273853302001953,2.7308621406555176,0.0,146,437
82,-0.320604145526886,0.3296414613723755,0.16498631238937378,0.0,184,591
82,-0.12213491648435593,0.2568260133266449,-0.3972335159778595,0.0,184,591
82,-0.5496070981025696,1.85631263256073,0.26602888107299805,0.0,225,512
82,-0.6106745600700378,4.754728317260742,-0.9416643381118774,0.0,178,423
82,0.0,24.267175674438477,2.789567470550537,0.0,133,440
83,-0.3664047420024872,0.3225179612636566,0.020018599927425385,0.0,197,582
83,-0.5496070981025696,1.8543452024459839,0.2794133126735687,0.0,234,503
